Component;Var1;Var2;Reason
Rotary Indexing Table;TableAutomatic;TableManual;Table cannot be in both automatic and manual modes simultaneously
Rotary Indexing Table;TableInPosition;NOT(TableRotating);Table cannot be both in position and rotating simultaneously
Station 1;LinearBack1;LinearFront1;Linear unit cannot be in both rear and front positions simultaneously
Station 1;HandlingUp1;HandlingDown1;Gripper cannot be in both upper and lower positions simultaneously
Station 1;ClampOpen1;ClampClosed1;Gripper clamp cannot be both open and closed simultaneously
Station 1;PreSingulationUp1;PreSingulationDown1;Pre-singulation cannot be in both upper and lower positions simultaneously
Station 1;SingulationUp1;SingulationDown1;Singulation cannot be in both upper and lower positions simultaneously
Station 2;PressingUp2;PressingDown2;Piston cannot be in both upper and lower positions simultaneously
Station 3;ClampingUp3;ClampingDown3;Clamping cannot be in both upper and lower positions simultaneously
Station 3;PlungerUp3;PlungerDown3;Plunger cannot be in both upper and lower positions simultaneously
Station 3;TriggerBack3;TriggerFront3;Trigger cannot be in both rear and front positions simultaneously
Station 5;TriggerBack5;TriggerFront5;Trigger cannot be in both rear and front positions simultaneously
Station 5;ClampingUp5;ClampingDown5;Clamping cannot be in both upper and lower positions simultaneously
Station 5;PlungerUp5;PlungerDown5;Plunger cannot be in both upper and lower positions simultaneously
Station 5;ContactingBack5;ContactingFront5;Contacting cannot be in both rear and front positions simultaneously
Station 6;StampBack6;StampFront6;Stamp cannot be in both rear and front positions simultaneously
Station 7;LinearBack7;LinearFront7;Linear unit cannot be in both rear and front positions simultaneously
Station 7;HandlingUp7;HandlingDown7;Gripper cannot be in both upper and lower positions simultaneously
Station 7;ClampOpen7;ClampClosed7;Gripper clamp cannot be both open and closed simultaneously
